| Ort                   | Zugehörige Gemeinde / Stadt | Typ      |
| --------------------- | --------------------------- | -------- |
| Pforzheim             | Pforzheim                   | Stadt    |
| Birkenfeld            | Birkenfeld                  | Gemeinde |
| Ispringen             | Ispringen                   | Gemeinde |
| Eisingen              | Eisingen                    | Gemeinde |
| Kieselbronn           | Kieselbronn                 | Gemeinde |
| Niefern               | Niefern-Öschelbronn         | Dorf     |
| Öschelbronn           | Niefern-Öschelbronn         | Dorf     |
| Neulingen             | Neulingen                   | Gemeinde |
| Bauschlott            | Neulingen                   | Dorf     |
| Göbrichen             | Neulingen                   | Dorf     |
| Nußbaum               | Neulingen                   | Dorf     |
| Ölbronn               | Ölbronn-Dürrn               | Dorf     |
| Dürrn                 | Ölbronn-Dürrn               | Dorf     |
| Königsbach            | Königsbach-Stein            | Dorf     |
| Stein                 | Königsbach-Stein            | Dorf     |
| Kämpfelbach           | Kämpfelbach                 | Gemeinde |
| Bilfingen             | Kämpfelbach                 | Dorf     |
| Ersingen              | Kämpfelbach                 | Dorf     |
| Remchingen            | Remchingen                  | Gemeinde |
| Wilferdingen          | Remchingen                  | Dorf     |
| Singen                | Remchingen                  | Dorf     |
| Nöttingen             | Remchingen                  | Dorf     |
| Straubenhardt         | Straubenhardt               | Gemeinde |
| Conweiler             | Straubenhardt               | Dorf     |
| Feldrennach           | Straubenhardt               | Dorf     |
| Langenalb             | Straubenhardt               | Dorf     |
| Ottenhausen           | Straubenhardt               | Dorf     |
| Schwann               | Straubenhardt               | Dorf     |
| Neuenbürg             | Neuenbürg                   | Stadt    |
| Arnbach               | Neuenbürg                   | Dorf     |
| Dennach               | Neuenbürg                   | Dorf     |
| Waldrennach           | Neuenbürg                   | Dorf     |
| Eisenfurt             | Neuenbürg                   | Ort      |
| Mühlacker             | Mühlacker                   | Stadt    |
| Enzberg               | Mühlacker                   | Dorf     |
| Lomersheim            | Mühlacker                   | Dorf     |
| Großglattbach         | Mühlacker                   | Dorf     |
| Lienzingen            | Mühlacker                   | Dorf     |
| Mühlhausen an der Enz | Mühlacker                   | Dorf     |
| Dürrmenz              | Mühlacker                   | Ort      |
| Maulbronn             | Maulbronn                   | Stadt    |
| Schmie                | Maulbronn                   | Dorf     |
| Zaisersweiher         | Maulbronn                   | Dorf     |
| Knittlingen           | Knittlingen                 | Stadt    |
| Tiefenbronn           | Tiefenbronn                 | Gemeinde |
| Mühlhausen            | Tiefenbronn                 | Dorf     |
| Lehningen             | Tiefenbronn                 | Dorf     |
| Wimsheim              | Wimsheim                    | Gemeinde |
| Friolzheim            | Friolzheim                  | Gemeinde |
| Neuhausen             | Neuhausen (Enzkreis)        | Dorf     |
| Hamberg               | Neuhausen                   | Dorf     |
| Schellbronn           | Neuhausen                   | Dorf     |
| Steinegg              | Neuhausen                   | Dorf     |
| Wurmberg              | Wurmberg                    | Gemeinde |
| Neubärental           | Wurmberg                    | Dorf     |
| Mönsheim              | Mönsheim                    | Gemeinde |
| Obermönsheim          | Mönsheim                    | Dorf     |
